지역,업종,사업체규모,연차휴가부여,연차휴가사용,연령대,성별,학력,직업,월평균소득구간
2,7,6,16,13,40대,1,4,3,5
9,6,3,0,0,30대,2,3,3,2
6,10,2,12,2,20대,2,4,3,2
11,7,3,13,10,20대,2,4,3,2
9,14,3,5,5,30대,2,3,4,4
9,2,2,12,10,30대,2,4,3,4
2,7,2,0,0,40대,1,3,3,3
16,7,4,25,12,50대,1,4,7,5
2,8,6,15,0,30대,2,2,4,2
9,2,5,18,18,30대,1,4,3,3
9,7,6,15,0,30대,1,4,3,4
9,15,5,16,0,40대,1,5,3,5
9,4,5,15,2,20대,1,4,3,3
7,14,2,21,21,40대,1,4,2,3
9,8,4,16,16,20대,1,2,4,3
9,6,2,13,5,30대,1,2,5,3
2,16,6,20,20,50대,1,4,3,5
3,8,3,15,15,30대,2,4,4,4
3,16,3,0,0,40대,2,2,3,3
14,3,6,22,13,40대,2,4,3,3
6,13,3,25,20,60대,2,4,3,3
13,2,5,15,13,50대,2,4,3,3
1,10,6,16,15,40대,1,4,3,3
2,2,4,15,0,20대,2,4,3,2
9,7,6,15,0,30대,1,4,3,3
15,13,4,15,2,40대,2,2,3,3
3,13,3,15,15,30대,2,4,3,3
2,4,4,14,5,50대,1,2,9,2
1,5,3,13,0,20대,2,4,3,2
7,13,5,15,14,40대,2,4,3,5
1,9,5,15,14,30대,2,4,3,3
16,14,5,15,14,40대,1,3,3,3
9,7,6,18,0,30대,1,4,3,4
3,2,4,15,5,30대,2,3,3,2
1,6,4,15,0,30대,2,4,3,2
3,2,5,15,10,20대,2,4,3,2
12,7,2,0,0,40대,1,3,3,4
9,6,2,0,0,20대,2,2,3,2
10,1,6,15,7,40대,1,3,3,3
2,6,5,14,12,30대,1,4,4,2
4,7,3,16,11,30대,1,3,3,4
2,4,5,15,10,20대,2,4,3,3
3,6,3,20,14,30대,2,2,5,2
2,7,2,14,0,20대,2,4,3,3
7,2,6,10,10,30대,1,4,3,4
11,2,3,15,10,40대,1,4,8,3
14,3,2,22,0,40대,1,2,8,4
12,7,4,15,0,30대,1,4,3,4
8,1,3,15,5,30대,2,2,3,3
